gota_n,caudal_ml_s,intervalo_seg
5,4.500,0.1000
10,4.500,13.9302
15,4.500,5.7654
20,4.500,0.1000
25,4.500,13.9006
30,4.500,5.7577
35,4.500,0.1000
40,4.500,13.9357
45,4.500,5.7646
50,4.500,0.1000
55,4.500,13.9416
60,4.500,5.7615
65,4.500,0.1000
70,4.500,13.9904
75,4.500,5.7621
80,4.500,0.1000
5,4.603,0.1000
10,4.603,14.1710
15,4.603,5.6719
20,4.603,0.1000
25,4.603,14.2214
30,4.603,5.6640
35,4.603,0.1000
40,4.603,14.2302
45,4.603,5.6699
50,4.603,0.1000
55,4.603,14.2618
60,4.603,5.6620
65,4.603,0.1000
70,4.603,14.1819
75,4.603,5.6602
80,4.603,0.1000
5,4.705,0.1000
10,4.705,14.5746
15,4.705,5.6034
20,4.705,0.1000
25,4.705,14.5356
30,4.705,5.5955
35,4.705,0.1000
40,4.705,14.5259
45,4.705,5.5859
50,4.705,0.1000
55,4.705,14.5109
60,4.705,5.5587
65,4.705,0.1000
70,4.705,14.5424
75,4.705,5.5896
80,4.705,0.1000
5,4.808,0.1000
10,4.808,14.8487
15,4.808,5.4928
20,4.808,0.1000
25,4.808,14.8851
30,4.808,5.5218
35,4.808,0.1000
40,4.808,14.8409
45,4.808,5.4954
50,4.808,0.1000
55,4.808,14.8840
60,4.808,5.5046
65,4.808,0.1000
70,4.808,14.8336
75,4.808,5.4894
80,4.808,0.1000
5,4.910,0.1000
10,4.910,15.1202
15,4.910,5.4020
20,4.910,0.1000
25,4.910,15.1362
30,4.910,5.4026
35,4.910,0.1000
40,4.910,15.1208
45,4.910,5.4149
50,4.910,0.1000
55,4.910,15.1494
60,4.910,5.4207
65,4.910,0.1000
70,4.910,15.1463
75,4.910,5.4231
80,4.910,0.1000
5,5.013,0.1000
10,5.013,15.4665
15,5.013,5.3360
20,5.013,0.1000
25,5.013,15.4493
30,5.013,5.3415
35,5.013,0.1000
40,5.013,15.3915
45,5.013,5.3269
50,5.013,0.1000
55,5.013,15.4295
60,5.013,5.3167
65,5.013,0.1000
70,5.013,15.4406
75,5.013,5.3306
80,5.013,0.1000
5,5.115,0.1000
10,5.115,15.7057
15,5.115,5.2421
20,5.115,0.1000
25,5.115,15.7015
